artist_id,artist_url,artist_name
3qpyErDI4i90q5EGgSRmNK,https://api.spotify.com/v1/artists/3qpyErDI4i90q5EGgSRmNK,Raghav Chaitanya
7xcbCUOXrxDyWxbYxPq60B,https://api.spotify.com/v1/artists/7xcbCUOXrxDyWxbYxPq60B,Indraneel
2oSONSC9zQ4UonDKnLqksx,https://api.spotify.com/v1/artists/2oSONSC9zQ4UonDKnLqksx,Atif Aslam
5r3wPya2PpeTTsXsGhQU8O,https://api.spotify.com/v1/artists/5r3wPya2PpeTTsXsGhQU8O,Shubh
5jJrJU7VVmxQQLcLAmmxXc,https://api.spotify.com/v1/artists/5jJrJU7VVmxQQLcLAmmxXc,Sai Abhyankkar
139FRgoVcJ82jogPttiWcc,https://api.spotify.com/v1/artists/139FRgoVcJ82jogPttiWcc,Sai Smriti
0m3D4grap8VFSzbJMqgNVk,https://api.spotify.com/v1/artists/0m3D4grap8VFSzbJMqgNVk,Kumaar
3iGhlvzpXc0UHBQ7klAItX,https://api.spotify.com/v1/artists/3iGhlvzpXc0UHBQ7klAItX,Mitraz
4xNgNFUMUuGCoy7IX74Y60,https://api.spotify.com/v1/artists/4xNgNFUMUuGCoy7IX74Y60,Mohammad Faiz
5gZhfbckaWo89OzDSk3gdT,https://api.spotify.com/v1/artists/5gZhfbckaWo89OzDSk3gdT,Jaani
5wQDQFm7Ku8WWGi5xqJ9lp,https://api.spotify.com/v1/artists/5wQDQFm7Ku8WWGi5xqJ9lp,Jyotica Tangri
3GdSQUH1BRtl9UrrtuwJlP,https://api.spotify.com/v1/artists/3GdSQUH1BRtl9UrrtuwJlP,Irshad Kamil
4cAERazLlAzVGA10ORWaUP,https://api.spotify.com/v1/artists/4cAERazLlAzVGA10ORWaUP,Manoj Muntashir
3ozYqVCLohfpXIhalkhM8D,https://api.spotify.com/v1/artists/3ozYqVCLohfpXIhalkhM8D,Aditya Rikhari
5Us2dsq4VHlfLbKOrskg7K,https://api.spotify.com/v1/artists/5Us2dsq4VHlfLbKOrskg7K,Mxrci
74OaRjmyh0XyRZsQQQ5l7c,https://api.spotify.com/v1/artists/74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal
3NHwwyb1coYa5cLyI72xSk,https://api.spotify.com/v1/artists/3NHwwyb1coYa5cLyI72xSk,Dulquer Salmaan
1qFp8zDvsXyCsC5dqz8X4S,https://api.spotify.com/v1/artists/1qFp8zDvsXyCsC5dqz8X4S,Sushin Shyam
2JJKoRrK7Eec7jlcjFB7sc,https://api.spotify.com/v1/artists/2JJKoRrK7Eec7jlcjFB7sc,Dabzee
51jfCC7m2rTGPDz06E2nvS,https://api.spotify.com/v1/artists/51jfCC7m2rTGPDz06E2nvS,Vinayak Sasikumar
2GoeZ0qOTt6kjsWW4eA6LS,https://api.spotify.com/v1/artists/2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval
00sCATpEvwH48ays7PlQFU,https://api.spotify.com/v1/artists/00sCATpEvwH48ays7PlQFU,Jonita Gandhi
3dN9MQpjIyNxyeRfz4EDZe,https://api.spotify.com/v1/artists/3dN9MQpjIyNxyeRfz4EDZe,Rochak Kohli
3nLLr3ShsQC2Hdrwjl14ie,https://api.spotify.com/v1/artists/3nLLr3ShsQC2Hdrwjl14ie,Gurpreet Saini
15UQcr22jcc6DJjy3sLv3J,https://api.spotify.com/v1/artists/15UQcr22jcc6DJjy3sLv3J,Rashmeet Kaur
