song_id,song_name,song_duration,song_popularity,song_added,song_url,album_id,artist_id
1WxzZoWBTmB68AtyA6ejBB,Haan Ke Haan,204041,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1WxzZoWBTmB68AtyA6ejBB,2R2iYcw81Fjfup0kUZtlf6,1bTROl5p3rGTpvKeWnGgrw
3zSSCPpLZ5Oc8nelhhGjKz,Tu hai kahan,263184,75,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/3zSSCPpLZ5Oc8nelhhGjKz,73vfz6Szer7i3GFIesix6l,2cjQTf2J5yCaNY8qHpW855
1eZefeDb8uOsjvcbl1fJrG,"Naina (From ""Crew"")",180000,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1eZefeDb8uOsjvcbl1fJrG,4mGz0G0d2mqGmaFc67MEEm,2FKWNmZWDBZR4dE5KX4plR
69Qzz3yyQSsA0T95jLDoPL,Dil Tu Jaan Tu,237333,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/69Qzz3yyQSsA0T95jLDoPL,4UPEfC1TJNAlObvA9a5Fkx,682M6cmwGHOyAB1ZmPv38W
2ceeTJAzKy295Fm0VsaXtE,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",264089,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/2ceeTJAzKy295Fm0VsaXtE,3vVIhgkDoC0vRBba5drHPe,1mBydYMVBECdDmMfE2sEUO
5npFBWhVs3VVlc0nY5xQMA,"Tainu Khabar Nahi - From ""Munjya""",188166,74,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/5npFBWhVs3VVlc0nY5xQMA,0cJXodCZCl2EWRNcw6m1eJ,1mBydYMVBECdDmMfE2sEUO
7m4CgL81VVIHaaiSxyH922,Desi Kalakaar,253352,73,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/7m4CgL81VVIHaaiSxyH922,3IbKcMtNRze5t0ANwdp45H,7uIbLdzzSEqnX0Pkrb56cR
2GXXZFUxYg2LvG8SR0byOE,Jeena Jeena,228969,74,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/2GXXZFUxYg2LvG8SR0byOE,4ahg47diWPOQ6d6C8e6PHI,2oSONSC9zQ4UonDKnLqksx
5ZLkihi6DVsHwDL3B8ym1t,One Love,159222,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/5ZLkihi6DVsHwDL3B8ym1t,3tNH9Fp4dm3qa3Kr4cv5uJ,5r3wPya2PpeTTsXsGhQU8O
0MTdYgTZ25sLCO6kVnDoje,"Aasa Kooda - From ""Think Indie""",215510,78,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/0MTdYgTZ25sLCO6kVnDoje,4AGLzJHGevDOnuHsQ0gxO5,5jJrJU7VVmxQQLcLAmmxXc
3xMHXmedL5Rvfxmiar9Ryv,Chaleya,200373,73,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv,3WLJmMZUeDOuERFAk1Mxs6,4zCH9qm4R2DADamUHMCa6O
6b2WJDzGt5X8dYfpkWtvXW,"Fear Song (From ""Devara Part 1"") [Telugu]",195064,72,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/6b2WJDzGt5X8dYfpkWtvXW,1OO05SXoc1JTyvGbxi75Pm,4zCH9qm4R2DADamUHMCa6O
0M0ANKNzmM4Odd7FNKghzW,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",171147,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/0M0ANKNzmM4Odd7FNKghzW,1VZDqgb1ALde0CFMIvEGNr,3iGhlvzpXc0UHBQ7klAItX
1r6GbBLdtUK1Vl1IHT14wP,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",281511,67,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1r6GbBLdtUK1Vl1IHT14wP,3PI3er7mHLniPndwdo0mlA,4xNgNFUMUuGCoy7IX74Y60
5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,281856,75,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/5sUSbJo0brScvv48ZZ1HrQ,1RNEvKlb3YovuiE8Gw5VOO,2oSONSC9zQ4UonDKnLqksx
2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",260590,72,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq,1WwkojG9sjMSrFVz4D51W0,4YRxDV8wJFPHPTeXepOstw
7bzR0C8NhnBA79iTXUCJ7o,"Jaanam (From ""Bad Newz"")",198035,75,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/7bzR0C8NhnBA79iTXUCJ7o,75lhBPvfb1RqeiuRZ6hOHN,5wJ1H6ud777odtZl5gG507
6bmmHeCvZI92pRiTHxEdTC,O Maahi,233453,72,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/6bmmHeCvZI92pRiTHxEdTC,6mOSDGo8ZREISAbaiTMW5J,1wRPtKGflJrBx9BmLsSwlU
1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",234722,72,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,1ncyKqyZae6DoyjYaV9LmS,5wJ1H6ud777odtZl5gG507
1d5lpW3gUyq537iuyrb9Lf,Samjho Na,172408,73,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1d5lpW3gUyq537iuyrb9Lf,6qe761tZyhwboJVLXlXJ7B,3ozYqVCLohfpXIhalkhM8D
3FqtduiaqnFYvBgKuc6QWQ,Winning Speech,227441,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/3FqtduiaqnFYvBgKuc6QWQ,0pLUWCJtTpJCcYpzSTK7oC,6DARBhWbfcS9E4yJzcliqQ
1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,224444,72,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1QZRCi2Z1DQQaR6bGAzhtN,3IbKcMtNRze5t0ANwdp45H,7uIbLdzzSEqnX0Pkrb56cR
5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),194857,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/5PUXKVVVQ74C3gl5vKy9Li,1wt2WZBZZ9GhM0AC61l7SS,74OaRjmyh0XyRZsQQQ5l7c
1a1xLj9W8libnO9PvJf6ao,Illuminati,212525,69,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/1a1xLj9W8libnO9PvJf6ao,3E0V1VegCFH9SeRSNWFKki,1qFp8zDvsXyCsC5dqz8X4S
36N5awamOX6XX5pQn3aFXZ,"Soni Soni (From ""Ishq Vishk Rebound"")",176875,76,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/36N5awamOX6XX5pQn3aFXZ,3vBso6gFPmEwstdMXn3Ahi,2GoeZ0qOTt6kjsWW4eA6LS
0645eBDehHcqfiF15hscQV,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",223390,75,2024-10-04 12:51:07+00:00,https://open.spotify.com/track/0645eBDehHcqfiF15hscQV,0kZKLq2WZQWvXvbxvK6YoC,5wJ1H6ud777odtZl5gG507
